"Quality","Country","Code","Year","Gini","Quntile 1","Quntile 2","Quntile 3","Quntile 4","Inc","Pers","Gross","Cov1","Cov2","Source1","Source2","Q","Other"
"ps","Czech Rep","CSR",1989,18.5,,,,,"I","P","N","Nat'l",,"Cornia 1994",,"ps",
"ps","Czech Rep","CSR",1990,20.1,,,,,"I","P","N","Nat'l",,"Cornia 1994",,"ps",
"ps","Czech Rep","CSR",1991,22.2,,,,,"I","P","N","Nat'l",,"Cornia 1994",,"ps",
"ps","Czech Rep","CSR",1992,18.1,,,,,"I","P","N","Nat'l",,"Cornia 1994",,"ps",
"accept","Czechoslovakia","CSK",1958,27.19,0.0816,0.2232,0.4098,0.6481,"I","P","N","Nat'l",,"Czechoslovakia, SY",,"good",
"accept","Czechoslovakia","CSK",1965,22.61,0.101,0.251,0.441,0.675,"I","P","N","Nat'l",,"Czechoslovakia, SY",,"good",
"accept","Czechoslovakia","CSK",1970,22.5,0.1029,0.2548,0.4426,0.6713,"I","P","N","Nat'l",,"Czechoslovakia, SY","FBS","good",
"accept","Czechoslovakia","CSK",1973,21.01,0.109,0.264,0.453,0.681,"I","P","N","Nat'l",,"Czechoslovakia, SY","FBS","good",
"accept","Czechoslovakia","CSK",1976,20.71,0.114,0.268,0.454,0.679,"I","P","N","Nat'l",,"Czechoslovakia, SY","FBS","good",
"accept","Czechoslovakia","CSK",1977,19.37,0.1263,0.2838,0.4667,0.688,"I","P","N","Nat'l",,"UN 1981","FBS","good",
"accept","Czechoslovakia","CSK",1980,20.67,0.114,0.268,0.454,0.679,"I","P","N","Nat'l",,"Atkinson and Micklewright 1992","FBS","good",
"accept","Czechoslovakia","CSK",1981,23.92,0.1018,0.2239,0.4309,0.6672,"I","P","N","Nat'l",,"UN 1985","FBS","good",
"accept","Czechoslovakia","CSK",1985,19.86,0.1161,0.2743,0.4605,0.6847,"I","P","N","Nat'l",,"Czechoslovakia, SY","FBS","good",
"accept","Czechoslovakia","CSK",1988,20.07,0.119,0.274,0.458,0.68,"I","P","N","Nat'l",,"Czechoslovakia, SY","FBS","good",
"accept","Czechoslovakia","CSK",1991,24.6042,0.1086367,0.2483716,0.4230053,0.6449541,"I","P","G","Nat'l",,"Milanovic and Ying 1996",,"good",
"accept","Czechoslovakia","CSK",1992,24.51,0.1093731,0.2529128,0.4276866,0.6442976,"I","P","G","Nat'l",,"Milanovic and Ying 1996",,"good",
"cs","Czechoslovakia","CSK",1958,27.19,0.101,0.251,0.441,0.675,"I","P","N","Nat'l",,"Atkinson and Micklewright 1992",,"cs",
"cs","Czechoslovakia","CSK",1958,24.6,0.101,0.251,0.441,0.675,"I","P","N","Nat'l",,"Cromwell 1977",,"cs",
"cs","Czechoslovakia","CSK",1965,22.61,0.103,0.255,0.443,0.671,"I","P","N","Nat'l",,"Atkinson and Micklewright 1992",,"cs",
"cs","Czechoslovakia","CSK",1965,24,,,,,"I","P",,"Nat'l",,"Michael 1977",,"cs",
"cs","Czechoslovakia","CSK",1970,22.5,,,,,"I","P",,"Nat'l",,"Atkinson and Micklewright 1992",,"cs",
"cs","Czechoslovakia","CSK",1973,20.7,,,,,"I","P",,"Nat'l",,"Atkinson and Micklewright 1992",,"cs",
"cs","Czechoslovakia","CSK",1974,21.01,,,,,"I","P",,"Nat'l",,"Atkinson and Micklewright 1992",,"cs",
"cs","Czechoslovakia","CSK",1976,20.71,,,,,"I","P","N","Nat'l",,"Atkinson and Micklewright 1992",,"cs",
"cs","Czechoslovakia","CSK",1977,19.367,,,,,"I","H","N","Nat'l",,"Atkinson and Micklewright 1992",,"cs",
"cs","Czechoslovakia","CSK",1980,20.67,,,,,"I","P",,"Nat'l",,"Atkinson and Micklewright 1992",,"cs",
"cs","Czechoslovakia","CSK",1982,19.9,,,,,"I","P",,"Nat'l",,"Atkinson and Micklewright 1992",,"cs",
"cs","Czechoslovakia","CSK",1985,19.86,0.116,0.274,0.46,0.685,"I","P","N","Nat'l",,"Atkinson and Micklewright 1992",,"cs",
"cs","Czechoslovakia","CSK",1988,20.068,,,,,"I","P",,"Nat'l",,"Atkinson and Micklewright 1992",,"cs",
"ps","Czechoslovakia","CSK",1958,24.6,,,,,"I","P",,"Nat'l",,"Cromwell 1977",,"ps",
"wg","Czechslov","CSK",1959,20.6,,,,,"I","P",,"Nat'l","IR","Jain 1975","UN-ECE","wg",
"wg","Czechslov","CSK",1964,19.38,,,,,"I","P",,"Nat'l","IR","Jain 1975","UN-ECE","wg",
"ps","Dahomey","BEN",1959,37.6,,,,,"I","P",,"Nat'l",,"Cromwell 1977","Adelman and Morris 1972","ps",
"ps","Dahomey","BEN",1959,46.75,,,,,"I","P",,"Nat'l",,"Jain 1975",,"ps",
"ps","Dahomey","BEN",1959,42,0.08,0.18,0.3,0.5,"I","P","G","Nat'l",,"Paukert 1973",,"ps","PT"
"wg","Dahomey","BEN",1959,41.4,,,,,"I","P",,"Nat'l","EAP","Lecaillon et al. 1984",,"wg",
"accept","Denmark","DNK",1976,31,0.0699,0.1928,0.3756,0.6194,"I","H","N","Nat'l",,"DHSS",,"good",
"accept","Denmark","DNK",1981,30.99,0.0667,0.1948,0.3789,0.6279,"I","H","G","Nat'l",,"Denmark, SY","Statistical Yearbook","good",
"accept","Denmark","DNK",1987,33.1451,0.0521,0.1759,0.3706,0.6222,"I","H","G","Nat'l",,"LIS Data base",,"good",
"accept","Denmark","DNK",1992,33.2023,0.0548,0.1754,0.367,0.6217,"I","H","G","Nat'l",,"LIS Data base",,"good",
"cs","Denmark","DNK",1976,31,0.07,0.193,0.376,0.619,"I","H","N","Nat'l",,"van Ginneken and Park 1984",,"cs",
"cs","Denmark","DNK",1976,27,,,,,"I","P",,"Nat'l",,"van Ginneken and Park 1984",,"cs",
"cs","Denmark","DNK",1978,40.103,,,,,"I","H","G","Nat'l",,"Denmark, SY","Statistical Yearbook","cs",
"cs","Denmark","DNK",1979,40.647,,,,,"I","H","G","Nat'l",,"Denmark, SY","Statistical Yearbook","cs",
"cs","Denmark","DNK",1980,41.272,,,,,"I","H","G","Nat'l",,"Denmark, SY","Statistical Yearbook","cs",
"cs","Denmark","DNK",1981,22.7,,,,,"I","He","N","Nat'l",,"Atkinson et al. 1995","Hansen 1993","cs",
"cs","Denmark","DNK",1982,22,,,,,"I","He","N","Nat'l",,"Atkinson et al. 1995","Hansen 1993","cs",
"cs","Denmark","DNK",1983,21.6,,,,,"I","He","N","Nat'l",,"Atkinson et al. 1995","Hansen 1993","cs",
"cs","Denmark","DNK",1984,20.5,,,,,"I","He","N","Nat'l",,"Atkinson et al. 1995","Hansen 1993","cs",
"cs","Denmark","DNK",1985,20.1,,,,,"I","He","N","Nat'l",,"Atkinson et al. 1995","Hansen 1993","cs",
"cs","Denmark","DNK",1986,20,,,,,"I","He","N","Nat'l",,"Atkinson et al. 1995","Hansen 1993","cs",
"cs","Denmark","DNK",1987,20.9,,,,,"I","He","N","Nat'l",,"Atkinson et al. 1995",,"cs",
"cs","Denmark","DNK",1987,32.649,,,,,"E","H",,"Nat'l",,"Denmark, SY","Statistical Yearbook","cs",
"cs","Denmark","DNK",1987,28.6015,0.0698,0.212,0.4051,0.6436,"I","Pe","G","Nat'l",,"LIS Data base",,"cs",
"cs","Denmark","DNK",1987,31.2973,0.0615,0.1878,0.3831,0.6328,"I","H","N","Nat'l",,"LIS Data base",,"cs",
"cs","Denmark","DNK",1987,26.0035,0.0843,0.2314,0.4231,0.6555,"I","Pe","N","Nat'l",,"LIS Data base",,"cs",
"cs","Denmark","DNK",1992,28.7472,0.0726,0.2111,0.4024,0.6422,"I","Pe","G","Nat'l",,"LIS Data base",,"cs",
"cs","Denmark","DNK",1992,29.962,0.0665,0.1953,0.3909,0.6436,"I","H","N","Nat'l",,"LIS Data base",,"cs",
"cs","Denmark","DNK",1992,24.3416,0.0909,0.241,0.4339,0.668,"I","Pe","N","Nat'l",,"LIS Data base",,"cs",
"ps","Denmark","DNK",1952,40.1,,,,,"I","H",,"Nat'l",,"Atkinson 1970",,"ps",
"ps","Denmark","DNK",1953,40,,,,,"I","H",,"Nat'l",,"UN 1967","UN-ECE","ps",
"ps","Denmark","DNK",1963,39,,,,,"I",,,"Nat'l",,"Cromwell 1977","Adelman and Morris 1972","ps",
"ps","Denmark","DNK",1963,37,0.05,0.158,0.346,0.588,"I","P","G","Nat'l",,"Paukert 1973",,"ps","PT"
"wg","Denmark","DNK",1953,40.15,,,,,"I","P",,"Nat'l","EAP","Jain 1975","UN-ECE","wg",
"wg","Denmark","DNK",1955,39.33,,,,,"I","P",,"Nat'l","EAP","Jain 1975",,"wg",
"wg","Denmark","DNK",1963,38.63,,,,,"I","P",,"Nat'l","EAP","Jain 1975","UN-ECE","wg","ARH"
"wg","Denmark","DNK",1963,39,,,,,"I","H",,"Nat'l","EAP","Lianos and Kyprianos 1974","UN-ECE","wg",
"wg","Denmark","DNK",1966,24.908,,,,,"I","H","G","Nat'l","EAP","Denmark, SY","Statistical Yearbook","wg",
"wg","Denmark","DNK",1966,36.73,,,,,"I","P",,"Nat'l","EAP","Jain 1975",,"wg","ARH"
"wg","Denmark","DNK",1968,43.86,,,,,"I","P",,"Nat'l","EAP","Jain 1975",,"wg",
"wg","Denmark","DNK",1971,22.489,,,,,"I","H","G","Nat'l","EAP","Denmark, SY","Statistical Yearbook","wg",
"accept","Djibuti","DJI",1996,38.1,,,,,"E","P","N","Nat'l",,"World Bank, Africa Department",,,
"accept","Dom. Rep.","DOM",1976,45,,,,,"I","P","G","Nat'l",,"Hausmann  and  Rigobon 1993",,"good",
"accept","Dom. Rep.","DOM",1984,43.29,0.054,0.148,0.288,0.522,"I","P","G","Nat'l",,"Hausmann  and  Rigobon 1993",,"good",
"accept","Dom. Rep.","DOM",1989,50.46,0.042,0.121,0.246,0.443,"I","P",,"Nat'l",,"Chen et al. 1995",,"cs",
"accept","Dom. Rep.","DOM",1992,49,,,,,"I","P","G","Nat'l",,"WB, Dom. Rep. 1995",,"good",
"cs","Dom. Rep.","DOM",1984,43,,,,,"I","P",,"Nat'l",,"Hausmann  and  Rigobon 1993",,"cs",
"cs","Dom. Rep.","DOM",1989,51,,,,,"I","P","G","Nat'l",,"Hausmann  and  Rigobon 1993",,"good",
"cs","Dom. Rep.","DOM",1989,50.29,,,,,"I","P",,"Nat'l",,"Psacharopoulos et a. 1992",,"cs",
"nn","Dom. Rep.","DOM",1969,49.28,,,,,"I","H",,"Urban",,"Jain 1975","BCRD","nn","ARL"
"nn","Dom. Rep.","DOM",1969,45.5,,,,,"I","P",,"Urban",,"Jain 1975","BCRD","nn",
"accept","Ecuador","ECU",1994,43,0.0536,0.1426,0.2748,0.4739,"E","P","N","Nat'l",,"Chen et al. 1995","LSMS","good",
"nn","Ecuador","ECU",1965,67.83,,,,,"I","P",,"Rural","EAP","Jain 1975","UN- ECLA","nn","ARL"
"nn","Ecuador","ECU",1968,52.58,,,,,"I","H",,"Urban",,"Jain 1975",,"nn",
"nn","Ecuador","ECU",1968,52.72,,,,,"I","P",,"Urban","EAP","Jain 1975",,"wg",
"ps","Ecuador","ECU",1968,32,,,,,"I",,,"Nat'l",,"Cromwell 1977","Adelman and Morris 1972","ps",
"ps","Ecuador","ECU",1968,38,0.063,0.164,0.325,0.558,"I","P","G","Nat'l",,"Paukert 1973",,"ps","PT"
"wg","Ecuador","ECU",1970,68.26,,,,,"I","P",,"Nat'l","EAP","Jain 1975",,"wg","ARL"
"wg","Ecuador","ECU",1970,62.5,,,,,"I","P",,"Nat'l","EAP","Lecaillon et al. 1984",,"wg",
"wg","Ecuador","ECU",1987,44.53,,,,,"I","P",,"Nat'l","IR","Psacharopoulos et a. 1992",,"wg",
"accept","Egypt","EGY",1959,42,,,,,"E","H","N","Nat'l",,"Hansen and Radwan 1982","FBS","good","ARH"
"accept","Egypt","EGY",1965,40,,,,,"E","H","N","Nat'l",,"Hansen and Radwan 1982","FBS","good",
"accept","Egypt","EGY",1975,38,,,,,"E","H","N","Nat'l",,"Hansen and Radwan 1982","FBS","good",
"accept","Egypt","EGY",1991,32,0.0871,0.212,0.3747,0.5891,"E","P",,"Nat'l",,"WDR 1996",,"good",
"cs","Egypt","EGY",1965,43.37,,,,,"I","H",,"Nat'l",,"Jain 1975",,"cs","ARH"
"cs","Egypt","EGY",1975,38,,,,,"E","H",,"Nat'l",,"Fields 1989","Hansen 1993","cs",
"nn","Egypt","EGY",1959,37,,,,,"E","H",,"Rural",,"Hansen and Radwan 1982","FBS","nn",
"nn","Egypt","EGY",1959,29,,,,,"E","P",,"Rural",,"Levy 1986","HBS","nn",
"nn","Egypt","EGY",1959,33,,,,,"E","P",,"Rural",,"Levy 1986","HBS","nn",
"nn","Egypt","EGY",1965,25,,,,,"E","P",,"Rural",,"Levy 1986","HBS","nn",
"nn","Egypt","EGY",1965,35,,,,,"E","P",,"Rural",,"Levy 1986","HBS","nn",
"nn","Egypt","EGY",1975,37,,,,,"E","H",,"Rural",,"Hansen and Radwan 1982","FBS","nn",
"nn","Egypt","EGY",1975,28,,,,,"E","P",,"Rural",,"Levy 1986","HBS","nn",
"nn","Egypt","EGY",1975,33,,,,,"E","P",,"Rural",,"Levy 1986","HBS","nn",
"nn","Egypt","EGY",1981,34,,,,,"E","H",,"Rural",,"Hansen and Radwan 1982","FBS","nn",
"nn","Egypt","EGY",1981,37,,,,,"E","H",,"Urban",,"Hansen and Radwan 1982","FBS","nn",
"accept","El Salvador","SLV",1977,48.4,0.05,0.124,0.246,0.468,"I","H","G","Nat'l",,"Park 1980","HIES","good",
"cs","El Salvador","SLV",1977,40,,,,,"I","H",,"Nat'l",,"Fields 1989",,"cs","ARH"
"nn","El Salvador","SLV",1961,52.42,,,,,"I","P",,"Rural","IR","Jain 1975","UN- ECLA","wg",
"nn","El Salvador","SLV",1961,46.3,,,,,"I","P",,"Urban","IR","Jain 1975","UN- ECLA","wg",
"nn","El Salvador","SLV",1990,44.77,,,,,"I","P",,"Urban",,"Psacharopoulos et a. 1992",,"nn",
"ps","El Salvador","SLV",1963,42.4,,,,,"I",,,"Nat'l",,"Cromwell 1977","Adelman and Morris 1972","ps",
"ps","El Salvador","SLV",1965,53,0.055,0.12,0.208,0.386,"I","P","G","Nat'l",,"Paukert 1973",,"ps","PT"
"ps","El Salvador","SLV",1966,53.89,,,,,"I","P",,"Nat'l",,"Jain 1975",,"ps",
"ps","El Salvador","SLV",1969,46.53,,,,,"I","P",,"Nat'l",,"Jain 1975",,"ps",
"wg","El Salvador","SLV",1961,54.6,,,,,"I","P",,"Nat'l","EAP","Jain 1975","UN- ECLA","wg",
"wg","El Salvador","SLV",1961,53.2,,,,,"I","P",,"Nat'l","EAP","Lecaillon et al. 1984",,"wg",
"accept","Estonia","EST",1992,35.8228,0.07020129,0.1879104,0.3489818,0.5690626,"E","P",,"Nat'l",,"Milanovic and Ying 1996",,"good",
"accept","Estonia","EST",1993,31.52,0.06244654,0.1716876,0.3245099,0.5385534,"E","P",,"Nat'l",,"Milanovic and Ying 1996",,"good",
"accept","Estonia","EST",1995,36.6255,0.06908456,0.1835144,0.342257,0.5623113,"E","P",,"Nat'l",,"Milanovic and Ying 1996",,"good",
"cs","Estonia","EST",1993,39.5078,0.06404193,0.1721574,0.3236808,0.5370715,"I","P","G","Nat'l",,"Milanovic and Ying 1996",,"good",
"cs","Estonia","EST",1993,39.5,0.0656,0.1723,0.3228,0.5367,"I","P",,"Nat'l",,"WDR 1996",,"good",
"cs","Estonia","EST",1995,40.368,0.05146381,0.1626951,0.3210614,0.5418606,"I","P","G","Nat'l",,"Milanovic and Ying 1996",,"good",
"accept","Ethiopia","ETH",1996,44.2,,,,,"E","P","N","Nat'l",,"World Bank, Africa Department",,,
"nn","Ethiopia","ETH",1981,32.42,,,,,"E","P",,"Nat'l","80%","Chen et al. 1995","SDA Survey","nn",
"accept","Fiji","FJI",1977,42.5,,,,,"I","H",,"Nat'l",,"Fields 1989","van Ginneken 1984","good","ARH"
"nn","Fiji","FJI",1968,42.81,,,,,"I","H",,"Urban",,"Jain 1975","FBS","nn",
"nn","Fiji","FJI",1972,42.25,,,,,"I","H",,"Urban",,"Jain 1975","FBS","nn",
"nn","Fiji","FJI",1977,42.5,,,,,"I","H","G","Nat'l",,"van Ginneken and Park 1984",,"nn",
"ps","Fiji","FIJ",1968,46,0.04,0.12,0.253,0.477,"I","P","G","Nat'l",,"Paukert 1973",,"ps","PT"
"accept","Finland","FIN",1966,31.8,0.078,0.203,0.374,0.604,"I","Pe","N","Nat'l",,"Atkinson et al. 1995","Uusitalo 1989, 1994","good",
"accept","Finland","FIN",1971,27,,,,,"I","Pe","N","Nat'l",,"LIS Data base","Uusitalo 1989, 1994","good",
"accept","Finland","FIN",1977,30.45,0.068,0.196,0.369,0.624,"I","H","N","Nat'l",,"UN 1981",,"good",
"accept","Finland","FIN",1978,30.41,0.069,0.197,0.383,0.633,"I","H","N","Nat'l",,"Finland, SY",,"good",
"accept","Finland","FIN",1979,31.06,0.0659,0.1928,0.3806,0.6314,"I","H","N","Nat'l",,"Finland, SY",,"good",
"accept","Finland","FIN",1980,30.86,0.066,0.193,0.381,0.6,"I","H","N","Nat'l",,"Finland, SY",,"good",
"accept","Finland","FIN",1981,32.04,0.063,0.1845,0.3687,0.6235,"I","H","N","Nat'l",,"Finland, SY",,"good",
"accept","Finland","FIN",1982,31.46,0.065,0.188,0.373,0.629,"I","H","N","Nat'l",,"Finland, SY",,"good",
"accept","Finland","FIN",1983,30.98,0.068,0.187,0.373,0.63,"I","H","N","Nat'l",,"Finland, SY",,"good",
"accept","Finland","FIN",1984,30.84,0.068,0.193,0.379,0.63,"I","H","N","Nat'l",,"Finland, SY",,"good",
"accept","Finland","FIN",1987,26.1882,0.0788,0.2246,0.4199,0.6603,"I","H","N","Nat'l",,"LIS Data base",,"good",
"accept","Finland","FIN",1991,26.1118,0.0778,0.2241,0.4212,0.662,"I","H","N","Nat'l",,"LIS Data base",,"good",
"cs","Finland","FIN",1976,21.6,,,,,"I","Pe","N","Nat'l",,"Atkinson et al. 1995","Uusitalo 1989, 1994","cs",
"cs","Finland","FIN",1981,20.6,,,,,"I","Pe","N","Nat'l",,"Atkinson et al. 1995","Uusitalo 1989, 1994","cs",
"cs","Finland","FIN",1985,20,,,,,"I","Pe","N","Nat'l",,"Atkinson et al. 1995","Uusitalo 1989, 1994","cs",
"cs","Finland","FIN",1986,20.5,,,,,"I","Pe","N","Nat'l",,"Atkinson et al. 1995","Uusitalo 1989, 1994","cs",
"cs","Finland","FIN",1987,19.9,,,,,"I","Pe","N","Nat'l",,"Atkinson et al. 1995","Uusitalo 1989, 1994","cs",
"cs","Finland","FIN",1987,30.0962,0.0681,0.2036,0.3914,0.6307,"I","H","G","Nat'l",,"LIS Data base",,"cs",
"cs","Finland","FIN",1987,26.7091,0.0871,0.2291,0.414,0.6456,"I","Pe","G","Nat'l",,"LIS Data base",,"cs",
"cs","Finland","FIN",1987,22.099,0.1036,0.2574,0.4474,0.6754,"I","Pe","N","Nat'l",,"LIS Data base",,"cs",
"cs","Finland","FIN",1988,20.4,,,,,"I","Pe","N","Nat'l",,"Atkinson et al. 1995","Uusitalo 1989, 1994","cs",
"cs","Finland","FIN",1989,20.5,,,,,"I","Pe","N","Nat'l",,"Atkinson et al. 1995","Uusitalo 1989, 1994","cs",
"cs","Finland","FIN",1990,20.4,,,,,"I","Pe","N","Nat'l",,"Atkinson et al. 1995","Uusitalo 1989, 1994","cs",
"cs","Finland","FIN",1991,20.2,,,,,"I","Pe","N","Nat'l",,"Atkinson et al. 1995","Uusitalo 1989, 1994","cs",
"cs","Finland","FIN",1991,29.6082,0.0689,0.2049,0.3952,0.6358,"I","H","G","Nat'l",,"LIS Data base",,"cs",
"cs","Finland","FIN",1991,26.3144,0.0884,0.2319,0.4164,0.6476,"I","Pe","G","Nat'l",,"LIS Data base",,"cs",
"cs","Finland","FIN",1991,22.3115,0.1026,0.2571,0.4456,0.6735,"I","Pe","N","Nat'l",,"LIS Data base",,"cs",
"cs","Finland","FIN",1992,19.9,,,,,"I","Pe","N","Nat'l",,"Atkinson et al. 1995","Uusitalo 1989, 1994","cs",
"ps","Finland","FIN",1962,46,0.024,0.111,0.265,0.507,"I","P","G","Nat'l",,"Paukert 1973",,"ps","PT"
"ps","Finland","FIN",1962,47,,,,,"I","H",,"Nat'l",,"UN 1967",,"ps",
"wg","Finland","FIN",1952,41.1,,,,,"I","P",,"Nat'l","EAP","Jain 1975","UN-ECE","wg",
"wg","Finland","FIN",1952,41,,,,,"I","P",,"Nat'l","EAP","UN 1967",,"wg",
"wg","Finland","FIN",1962,47.29,,,,,"I","P",,"Nat'l","EAP","Jain 1975","UN-ECE","wg","ARH"
"accept","France","FRA",1956,49,,,,,"I","H","G","Nat'l",,"UN 1985",,"good",
"accept","France","FRA",1962,49,,,,,"I","H","G","Nat'l",,"UN 1985",,"good",
"accept","France","FRA",1965,47,,,,,"I","H","G","Nat'l",,"UN 1985",,"good",
"accept","France","FRA",1970,44,,,,,"I","H","G","Nat'l",,"UN 1985",,"good",
"accept","France","FRA",1975,43,,,,,"I","H","G","Nat'l",,"UN 1985",,"good",
"accept","France","FRA",1979,34.8504,0.067,0.1914,0.3596,0.5818,"I","H","G","Nat'l",,"LIS Data base",,"good",
"accept","France","FRA",1984,34.9145,0.0658,0.1901,0.3575,0.5803,"I","H","G","Nat'l",,"LIS Data base",,"good",
"cs","France","FRA",1956,47.9,,,,,"I","H",,"Nat'l",,"Jain 1975","UN-ECE","cs",
"cs","France","FRA",1962,51.76,,,,,"I","H",,"Nat'l",,"Jain 1975","UN-ECE","cs","ARH"
"cs","France","FRA",1962,50,0.019,0.095,0.235,0.463,"I","P","G","Nat'l",,"Paukert 1973",,"cs","PT"
"cs","France","FRA",1970,39.8,0.036,0.129,0.283,0.518,"I","He","G","Nat'l",,"Atkinson et al. 1995","Canceil and Vileneuve","cs",
"cs","France","FRA",1975,38.4,,,,,"I","He","G","Nat'l",,"Atkinson et al. 1995","Canceil and Vileneuve","cs",
"cs","France","FRA",1979,36.4,,,,,"I","He","G","Nat'l",,"Atkinson et al. 1995","Canceil and Vileneuve","cs",
"cs","France","FRA",1979,33.5503,0.077,0.2023,0.3667,0.5847,"I","Pe","G","Nat'l",,"LIS Data base",,"cs",
"cs","France","FRA",1979,31.7372,0.0718,0.2038,0.3805,0.6095,"I","H","N","Nat'l",,"LIS Data base",,"cs",
"cs","France","FRA",1979,29.8689,0.0835,0.2185,0.392,0.6163,"I","Pe","N","Nat'l",,"LIS Data base",,"cs",
"cs","France","FRA",1979,40.3,,,,,"I","H","G","Nat'l",,"Sollogoub 1988",,"cs",
"cs","France","FRA",1981,28.9796,0.0867,0.2204,0.3955,0.6243,"I","Pe","N","Nat'l",,"LIS Data base",,"cs",
"cs","France","FRA",1981,27.8809,0.089,0.2289,0.4061,0.6311,"I","H","N","Nat'l",,"LIS Data base",,"cs",
"cs","France","FRA",1984,37.2,,,,,"I","He","G","Nat'l",,"Atkinson et al. 1995","Canceil and Vileneuve","cs",
"cs","France","FRA",1984,33.5226,0.0772,0.2019,0.3659,0.5852,"I","Pe","G","Nat'l",,"LIS Data base",,"cs",
"cs","France","FRA",1984,31.9402,0.0706,0.2022,0.3778,0.6077,"I","H","N","Nat'l",,"LIS Data base",,"cs",
"cs","France","FRA",1984,29.9096,0.0831,0.2175,0.3909,0.6163,"I","Pe","N","Nat'l",,"LIS Data base",,"cs",
"ps","France","FRA",1962,52,,,,,"I",,,"Nat'l",,"Cromwell 1977",,"ps",
"accept","Gabon","GAB",1975,59.27,0.038,0.093,0.198,0.365,"I","H","N","Nat'l",,"Kervyn 1980",,"good",
"accept","Gabon","GAB",1977,63.18,0.029,0.075,0.171,0.337,"I","H","N","Nat'l",,"Kervyn 1980",,"good",
"cs","Gabon","GAB",1977,63,,,,,"I","P",,"Nat'l",,"ILO 1982",,"cs",
"nn","Gabon","GAB",1975,26.5,,,,,"I","H","G","Rural",,"Kervyn 1980",,"nn",
"nn","Gabon","GAB",1975,50.4,,,,,"I","H","G","Urban",,"Kervyn 1980",,"nn",
"nn","Gabon","GAB",1977,30.3,,,,,"I","H","G","Rural",,"Kervyn 1980",,"nn",
"nn","Gabon","GAB",1977,52.6,,,,,"I","H","G","Urban",,"Kervyn 1980",,"nn",
"ps","Gabon","GAB",1960,58.4,,,,,"I","P",,"Nat'l",,"Cromwell 1977",,"ps",
"ps","Gabon","GAB",1960,68.99,,,,,"I","P",,"Nat'l",,"Jain 1975",,"ps","ARL"
"ps","Gabon","GAB",1960,58,,,,,"E","P",,"Nat'l",,"Nssah 1995",,"ps",
"ps","Gabon","GAB",1960,64,0.02,0.08,0.15,0.29,"I","P","G","Nat'l",,"Paukert 1973",,"ps","PT"
"ps","Gabon","GAB",1968,56,,,,,"E","P",,"Nat'l",,"Nssah 1995",,"ps",
"wg","Gabon","GAB",1968,64.39,,,,,"I","P",,"Nat'l","EAP","Jain 1975",,"wg","ARL"
"wg","Gabon","GAB",1968,64.1,,,,,"I","P",,"Nat'l","EAP","Lecaillon et al. 1984",,"wg",
"accept","Gambia","GMB",1992,39,,,,,"E","P","N","Nat'l",,"World Bank, Africa Department",,,
"accept","Germany","DEU",1963,28.13,0.1053,0.2326,0.4035,0.6233,"I","H","N","Nat'l",,"UN 1985",,"good",
"accept","Germany","DEU",1969,33.57,0.0724,0.1957,0.3638,0.5886,"I","H","N","Nat'l",,"UN 1985",,"good",
"accept","Germany","DEU",1973,30.6163,0.0701,0.2094,0.3897,0.62,"I","H","G","Nat'l",,"LIS Data base",,"good",
"accept","Germany","DEU",1978,32.0648,0.0661,0.2,0.3793,0.6105,"I","H","G","Nat'l",,"LIS Data base",,"good",
"accept","Germany","DEU",1981,30.5903,0.0684,0.2028,0.3858,0.6258,"I","H","G","Nat'l",,"LIS Data base",,"good",
"accept","Germany","DEU",1983,31.3663,0.0692,0.2007,0.3803,0.6168,"I","H","G","Nat'l",,"LIS Data base",,"good",
"accept","Germany","DEU",1984,32.195,0.0659,0.1938,0.3735,0.6112,"I","H","G","Nat'l",,"LIS Data base",,"good",
"cs","Germany","DEU",1969,33.44,,,,,"I","H",,"Nat'l","Tax","Jain 1975",,"cs",
"cs","Germany","DEU",1973,25.4,,,,,"I","Pe","N","Nat'l",,"Atkinson et al. 1995",,"cs",
"cs","Germany","DEU",1973,25.3199,0.0904,0.2364,0.4226,0.656,"E","H","N","Nat'l",,"LIS Data base",,"cs",
"cs","Germany","DEU",1973,22.8022,0.1073,0.2558,0.438,0.6644,"E","Pe","N","Nat'l",,"LIS Data base",,"cs",
"cs","Germany","DEU",1973,28.8869,0.0845,0.2225,0.3983,0.6246,"I","Pe","G","Nat'l",,"LIS Data base",,"cs",
"cs","Germany","DEU",1973,29.306,0.0779,0.2174,0.3969,0.6262,"I","H","N","Nat'l",,"LIS Data base",,"cs",
"cs","Germany","DEU",1973,27.1635,0.0919,0.2323,0.4096,0.6351,"I","Pe","N","Nat'l",,"LIS Data base",,"cs",
"cs","Germany","DEU",1973,32.29,,,,,"I","H","G","Nat'l",,"UN 1981",,"cs",
"cs","Germany","DEU",1973,30.28,,,,,"I","H","N","Nat'l",,"UN 1981",,"cs",
"cs","Germany","DEU",1973,32,,,,,"I","P","N","Nat'l",,"van Ginneken 1982",,"cs",
"cs","Germany","DEU",1973,36.5,,,,,"I","H","N","Nat'l",,"van Ginneken 1982",,"cs",
"cs","Germany","DEU",1978,25.4,,,,,"I","Pe","N","Nat'l",,"Atkinson et al. 1995",,"cs",
"cs","Germany","DEU",1978,26.6416,0.0843,0.227,0.4128,0.6494,"E","H","N","Nat'l",,"LIS Data base",,"cs",
